Model,R_squared,Adj_R_squared,AIC,BIC
Model 1 (extended basic),0.5646039495215903,0.5536575516423309,41332.93445046291,41896.86035184347
Model 2 (+ categorical),0.5658382517050268,0.5545453818030937,41328.62916669361,41911.14603185595
Model 3 (log transformation),0.6203099072524446,0.6102134804580259,972.4936731806004,1567.4045141974545
Model 4 (+ interactions + polynomials),0.6400160771130031,0.6241709849951347,897.0291831055665,1857.5623118306955
Model 5 (stepwise),0.94169096552581,0.9397484378966869,-5782.668257381878,-5045.22669403807
Model 6 (Ridge),0.9217475343173195,NA,NA,NA
Model 7 (Lasso),0.9420620801577363,NA,NA,NA
