price,room_type,neighbourhood_cleansed,property_type,host_is_superhost,instant_bookable,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,availability_30,availability_60,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,total_reviews_count,days_since_last_review,reviews_last_30_days,reviews_last_90_days,reviews_last_180_days,has_recent_reviews,review_activity_score,host_experience_years,amenities_count,distance_to_center,host_response_rate_num,host_acceptance_rate_num,days_since_first_review,review_density,price_per_person,price_per_bedroom,beds_per_person,number_of_reviews_ltm,number_of_reviews_l30d
350,Entire home/apt,Centrum-West,Entire rental unit,FALSE,FALSE,2,1,1,1,3,31,0.2,1,69,22,48,69,4.87,4.9,4.81,4.87,4.87,4.87,4.68,31,104,0,0,1,FALSE,0.16666666666666666,13.25119780971937,20,2.362880285012191,0.75,0.06,4838,0.0064076064489458455,175,350,0.5,1,0
126,Entire home/apt,Buitenveldert - Zuidas,Entire rental unit,FALSE,FALSE,2,1,1,1,3,28,0.18,2,0,0,0,0,4.62,4.75,4.54,4.71,4.96,4.57,4.5,28,508,0,0,0,FALSE,0,13.196440793976729,24,5.2917820135377704,0,0.71,4841,0.005783928940301591,63,126,0.5,0,0
187,Entire home/apt,Slotervaart,Entire rental unit,FALSE,FALSE,6,1.5,3,1,3,13,0.09,1,112,0,0,22,4.77,4.92,4.77,4.62,5,4.38,4.46,13,48,0,1,1,FALSE,0.5,13.160848733744011,42,6.780704635508018,1,0.5,4466,0.002910882221227049,31.166666666666668,62.333333333333336,0.16666666666666666,1,0
180,Entire home/apt,De Baarsjes - Oud-West,Entire condo,FALSE,FALSE,2,1,1,1,3,61,0.39,1,256,1,1,1,4.89,4.92,4.87,4.9,4.95,4.82,4.89,61,16,3,3,4,TRUE,3.1666666666666665,13.149897330595483,21,5.52140789760183,1,0.62,4789,0.012737523491334307,90,180,0.5,5,3
280,Entire home/apt,Zuid,Entire rental unit,FALSE,FALSE,4,2,4,1,2,29,0.18,1,10,8,10,10,4.93,4.9,4.72,4.93,5,4.59,4.62,29,422,0,0,0,FALSE,0,13.149897330595483,23,6.329072050182342,1,0.71,4887,0.005934110906486597,70,70,0.25,0,0
212,Entire home/apt,Westerpark,Entire rental unit,FALSE,FALSE,2,1,1,1,3,34,0.22,1,75,15,45,75,4.97,4.88,4.94,4.97,5,4.76,4.68,34,325,0,0,0,FALSE,0,13.1854893908282,26,4.294286310016686,1,0.4,4838,0.007027697395618024,106,212,0.5,1,0
225,Entire home/apt,De Pijp - Rivierenbuurt,Entire rental unit,FALSE,FALSE,2,1,1,1,3,70,0.45,1,0,0,0,0,4.99,4.99,4.99,4.96,4.97,4.94,4.86,70,46,0,1,3,FALSE,0.8333333333333334,13.486652977412732,34,1.9930094466671804,1,0.92,4801,0.014580295771714226,112.5,225,0.5,5,0
184,Entire home/apt,Centrum-West,Entire rental unit,FALSE,FALSE,2,1,1,1,5,108,0.69,1,287,8,23,53,4.71,4.77,4.19,4.92,4.89,4.91,4.56,108,30,1,3,3,TRUE,2,12.91170431211499,48,2.5437259969772468,1,0.56,4790,0.02254697286012526,92,184,0.5,4,1
590,Entire home/apt,Westerpark,Boat,FALSE,FALSE,4,2,3,3,2,92,0.6,3,208,2,15,25,4.85,4.85,4.78,4.88,4.93,4.8,4.62,92,18,1,7,12,TRUE,4.833333333333333,12.889801505817934,77,3.90979833348203,1,1,4704,0.0195578231292517,147.5,196.66666666666666,0.75,15,1
255,Entire home/apt,De Baarsjes - Oud-West,Entire condo,FALSE,FALSE,4,1,3,4,3,18,0.13,1,2,0,0,0,4.89,5,4.89,5,4.89,4.94,4.61,18,25,1,1,2,TRUE,1.1666666666666667,12.980150581793293,53,5.817334739775621,1,0.57,4176,0.004310344827586207,63.75,85,1,3,1
295,Entire home/apt,Westerpark,Entire rental unit,FALSE,FALSE,2,2,1,1,3,84,0.57,1,190,0,0,0,4.83,4.93,4.89,4.93,4.93,4.86,4.76,84,91,0,0,1,FALSE,0.16666666666666666,12.941820670773442,51,3.131173263586588,0.8,1,4485,0.018729096989966554,147.5,295,0.5,1,0
118,Entire home/apt,De Baarsjes - Oud-West,Entire rental unit,FALSE,FALSE,4,1,2,2,4,18,0.12,1,125,0,0,0,4.83,4.83,4.67,4.94,5,4.67,4.5,18,2032,0,0,0,FALSE,0,12.785763175906913,9,4.756122036543987,1,0,4729,0.0038063015436667373,29.5,59,0.5,0,0
112,Private room,Noord-West,Private room in home,FALSE,FALSE,2,1,1,0,2,21,0.14,2,134,4,10,30,5,4.95,4.95,5,5,4.86,4.81,21,42,0,2,7,FALSE,1.8333333333333333,12.670773442847365,40,4.943953752540204,1,0.9,4621,0.004544470893745943,56,112,0,11,0
172,Private room,Centrum-Oost,Private room in bed and breakfast,FALSE,FALSE,2,1,1,1,2,82,0.74,2,275,3,13,35,4.99,4.96,4.96,4.98,5,4.98,4.91,82,73,0,1,3,FALSE,0.8333333333333334,12.659822039698836,23,1.6620343544428524,1,0.74,3430,0.0239067055393586,86,172,0.5,4,0
235,Private room,Centrum-Oost,Private room in bed and breakfast,FALSE,FALSE,2,1.5,0,1,2,83,0.55,2,279,6,14,41,4.99,4.96,5,4.99,5,4.96,4.88,83,11,1,2,5,TRUE,2,12.659822039698836,19,1.6619983010798154,1,0.74,4591,0.018078849923763886,117.5,235,0.5,10,1
439,Entire home/apt,Zuid,Entire loft,FALSE,FALSE,4,2,2,2,2,61,0.4,1,234,2,13,43,4.92,4.87,4.93,4.83,4.93,4.82,4.8,61,47,0,3,4,FALSE,1.6666666666666667,12.635181382614647,47,5.738496567961039,1,0.78,4642,0.013140887548470486,109.75,219.5,0.5,8,0
340,Entire home/apt,Westerpark,Houseboat,FALSE,FALSE,2,1,1,1,1,50,0.33,1,253,0,0,0,4.9,4.84,4.68,5,4.96,4.98,4.72,50,88,0,1,5,FALSE,1.1666666666666667,12.624229979466119,27,3.9164480949451828,1,0.89,4676,0.0106928999144568,170,340,0.5,8,0
103,Entire home/apt,De Baarsjes - Oud-West,Entire condo,FALSE,FALSE,2,1.5,1,1,3,100,0.66,1,5,5,5,5,4.91,4.89,4.86,4.89,4.92,4.73,4.73,100,104,0,0,4,FALSE,0.6666666666666666,12.616016427104723,51,5.287992013147062,1,1,4620,0.021645021645021644,51.5,103,0.5,6,0
95,Private room,Noord-West,Private room in home,FALSE,FALSE,2,1,1,0,2,36,0.24,2,132,2,10,26,4.92,4.91,4.91,4.86,4.94,4.77,4.69,36,1,2,9,19,TRUE,7.166666666666667,12.670773442847365,41,4.943953752540204,1,0.9,4614,0.007802340702210663,47.5,95,0,29,2
128,Entire home/apt,Watergraafsmeer,Entire home,FALSE,FALSE,4,2,2,2,4,67,0.44,1,34,0,0,0,4.66,4.69,4.58,4.77,4.6,4.62,4.61,67,21,3,4,4,TRUE,3.5,12.539356605065024,35,2.7271563773648935,1,0.73,4641,0.014436543848308555,32,64,0.5,6,3
276,Entire home/apt,IJburg - Zeeburgereiland,Entire home,FALSE,FALSE,6,2,4,4,3,29,0.21,1,306,10,24,54,4.86,4.93,4.57,4.83,4.93,4.76,4.72,29,389,0,0,0,FALSE,0,12.621492128678987,28,8.524659952581636,0,0,4249,0.006825135325959049,46,69,0.6666666666666666,0,0
355,Entire home/apt,De Pijp - Rivierenbuurt,Entire rental unit,FALSE,FALSE,4,1.5,2,3,5,36,0.24,1,253,0,0,0,5,4.91,4.86,5,5,4.94,4.86,36,439,0,0,0,FALSE,0,13.22655715263518,22,1.3668648349416364,1,0,4611,0.007807417046193884,88.75,177.5,0.75,0,0
250,Entire home/apt,Westerpark,Entire rental unit,FALSE,FALSE,2,1,1,1,3,52,0.34,1,27,0,6,27,5,5,4.94,5,5,4.96,4.88,52,89,0,1,2,FALSE,0.6666666666666666,12.465434633812457,52,3.4148884360252167,1,0.4,4641,0.011204481792717087,125,250,0.5,3,0
255,Entire home/apt,Centrum-West,Entire rental unit,FALSE,FALSE,2,1,1,1,4,44,0.29,1,52,0,10,40,4.93,4.95,4.86,5,4.95,4.98,4.86,44,67,0,1,2,FALSE,0.6666666666666666,12.449007529089664,40,1.7823700355703256,1,0.7,4609,0.00954653937947494,127.5,255,0.5,4,0
200,Private room,Centrum-Oost,Private room in bed and breakfast,FALSE,FALSE,2,1,1,0,3,56,0.42,2,297,1,7,26,4.79,4.84,4.71,4.89,4.77,4.91,4.59,56,41,0,2,4,FALSE,1.3333333333333333,12.88432580424367,21,0.87063704590380675,1,1,4091,0.013688584698117819,100,200,0,7,0
295,Entire home/apt,Watergraafsmeer,Entire home,FALSE,FALSE,4,1,3,3,3,19,0.13,1,1,1,1,1,4.84,4.79,4.79,4.95,5,4.84,4.79,19,31,0,2,3,FALSE,1.1666666666666667,12.366872005475702,51,4.395463901213781,1,0.71,4511,0.0042119264021281315,73.75,98.33333333333333,0.75,3,0
287,Entire home/apt,Bos en Lommer,Entire townhouse,FALSE,FALSE,2,1,1,0,2,18,0.16,1,89,29,59,89,4.89,5,4.83,4.82,4.94,4.71,4.59,18,1097,0,0,0,FALSE,0,12.358658453114305,22,4.833078174414129,1,0.71,3556,0.005061867266591676,143.5,287,0,0,0
198,Entire home/apt,Centrum-Oost,Entire rental unit,FALSE,FALSE,2,1.5,1,1,2,99,0.66,1,152,7,32,62,4.73,4.83,4.58,4.93,4.95,4.63,4.52,99,115,0,0,1,FALSE,0.16666666666666666,13.273100616016427,21,1.9012615161780744,1,0.11,4565,0.021686746987951807,99,198,0.5,1,0
284,Entire home/apt,De Baarsjes - Oud-West,Entire rental unit,FALSE,FALSE,4,1,1,2,3,30,0.21,1,15,3,10,10,4.87,4.87,4.73,4.97,4.9,4.83,4.67,30,46,0,3,3,FALSE,1.5,12.334017796030116,35,3.6293951615110522,1,0.7,4468,0.006714413607878245,71,284,0.5,3,0
349,Entire home/apt,Oud-Oost,Entire rental unit,FALSE,FALSE,4,1,4,4,4,18,0.12,1,75,0,0,0,4.89,4.89,4.5,4.89,4.94,4.72,4.56,18,619,0,0,0,FALSE,0,12.314852840520192,18,2.0821286385334297,1,0.4,4439,0.004054967334985357,87.25,87.25,1,0,0
429,Entire home/apt,Centrum-West,Entire rental unit,FALSE,FALSE,4,1,4,4,3,53,0.36,1,44,1,4,4,4.89,4.92,4.42,4.92,4.96,4.96,4.68,53,51,0,1,1,FALSE,0.5,12.28747433264887,56,2.8430922546585995,1,0.6,4558,0.011627906976744186,107.25,107.25,1,2,0
256,Entire home/apt,Centrum-West,Boat,FALSE,FALSE,2,1.5,1,1,3,85,0.6,1,27,0,0,0,4.78,4.74,4.61,4.93,4.96,4.89,4.55,85,60,0,1,1,FALSE,0.5,12.235455167693361,67,2.307464678754458,1,1,4366,0.01946862116353642,128,256,0.5,1,0
86,Private room,De Pijp - Rivierenbuurt,Private room in guesthouse,FALSE,FALSE,2,1.5,1,1,3,131,0.91,2,37,1,15,37,4.7,4.69,4.63,4.79,4.79,4.84,4.63,131,10,2,12,25,TRUE,9.166666666666666,14.940451745379876,29,1.593203072367686,0.95,0.89,4425,0.0296045197740113,43,86,0.5,49,2
338,Entire home/apt,IJburg - Zeeburgereiland,Entire home,FALSE,FALSE,4,1.5,3,3,2,25,0.2,1,249,0,7,7,4.92,4.8,4.8,5,5,4.96,4.96,25,37,0,1,2,FALSE,0.6666666666666666,12.180698151950718,30,11.706478952772327,1,0.5,3788,0.006599788806758183,84.5,112.66666666666667,0.75,2,0
248,Entire home/apt,Centrum-Oost,Entire condo,FALSE,FALSE,2,2,1,1,3,6,0.47,1,65,0,0,0,5,5,4.67,5,5,5,4.67,6,19,2,2,4,TRUE,2.3333333333333335,12.145106091718,55,0.5397317216912703,1,0.89,478,0.012552301255230125,124,248,0.5,5,2
264,Entire home/apt,Oostelijk Havengebied - Indische Buurt,Entire rental unit,FALSE,FALSE,2,1,1,1,5,21,0.14,1,102,0,0,0,5,5,4.9,4.95,4.95,4.71,4.81,21,707,0,0,0,FALSE,0,12.125941136208077,16,3.849228097294413,1,0.71,4499,0.0046677039342076015,132,264,0.5,0,0
195,Entire home/apt,Oostelijk Havengebied - Indische Buurt,Entire rental unit,FALSE,FALSE,2,1.5,2,3,2,30,0.21,1,47,0,15,27,4.93,4.97,4.97,4.9,4.97,4.73,4.77,30,1887,0,0,0,FALSE,0,12.10403832991102,39,4.4871741419294775,1,0.71,4364,0.0068744271310724105,97.5,97.5,1.5,0,0
220,Entire home/apt,De Pijp - Rivierenbuurt,Entire rental unit,FALSE,FALSE,2,1.5,1,1,4,56,0.42,1,26,8,11,11,4.75,4.84,4.8,4.8,4.93,4.89,4.52,56,159,0,0,1,FALSE,0.16666666666666666,12.262833675564682,25,2.233000548723564,1,0.42,4095,0.013675213675213675,110,220,0.5,3,0
196,Entire home/apt,Bos en Lommer,Entire rental unit,FALSE,FALSE,2,1,1,1,3,143,0.98,1,3,3,3,3,4.57,4.75,4.41,4.8,4.85,4.43,4.4,143,17,1,1,2,TRUE,1.1666666666666667,12.7419575633128,30,6.106826181413678,1,1,4474,0.031962449709432274,98,196,0.5,4,1
212,Entire home/apt,De Pijp - Rivierenbuurt,Entire condo,FALSE,FALSE,2,1.5,1,1,5,77,0.56,1,48,0,8,38,4.91,4.92,4.87,4.99,4.99,4.82,4.75,77,335,0,0,0,FALSE,0,12.355920602327172,44,2.29156616777734,1,0.5,4257,0.01808785529715762,106,212,0.5,1,0
